"grp","common","est","year","metacomm","longitude","latitude"
"1","kingfishes",58.5890060903374,2002,"VA",392.602632782714,4096.40408370313
"2","kingfishes",79.3064347470009,2002,"VA",402.602632782714,4096.40408370313
"3","kingfishes",78.539878715834,2002,"VA",412.602632782714,4096.40408370313
"4","kingfishes",84.2394137975104,2002,"VA",397.602632782714,4105.06433774098
"5","kingfishes",78.0561344492318,2002,"VA",407.602632782714,4105.06433774098
"6","kingfishes",56.1944406408128,2002,"VA",392.602632782714,4113.72459177882
"7","kingfishes",85.6097402868278,2002,"VA",402.602632782714,4113.72459177882
"8","kingfishes",12.8588534641614,2002,"VA",377.602632782714,4122.38484581667
"9","kingfishes",29.5790598157923,2002,"VA",387.602632782714,4122.38484581667
"10","kingfishes",71.7921259914623,2002,"VA",397.602632782714,4122.38484581667
"11","kingfishes",63.6625635839326,2002,"VA",407.602632782714,4122.38484581667
"12","kingfishes",44.0902213344045,2002,"VA",392.602632782714,4131.04509985451
"13","kingfishes",66.5503951800696,2002,"VA",402.602632782714,4131.04509985451
"14","kingfishes",45.7179745321566,2002,"VA",397.602632782714,4139.70535389236
"15","kingfishes",61.4478233051745,2002,"VA",407.602632782714,4139.70535389236
"16","kingfishes",34.2981213218936,2002,"VA",392.602632782714,4148.3656079302
"17","kingfishes",73.6629103533399,2002,"VA",402.602632782714,4148.3656079302
"18","kingfishes",43.2795080557051,2002,"VA",412.602632782714,4148.3656079302
"19","kingfishes",29.6670386749503,2002,"VA",387.602632782714,4157.02586196804
"20","kingfishes",47.9152323139734,2002,"VA",397.602632782714,4157.02586196804
"21","kingfishes",60.6205717774665,2002,"VA",407.602632782714,4157.02586196804
"22","kingfishes",32.1645926981535,2002,"VA",392.602632782714,4165.68611600589
"23","kingfishes",62.2637067117622,2002,"VA",402.602632782714,4165.68611600589
"24","kingfishes",37.0536247862675,2002,"VA",412.602632782714,4165.68611600589
"25","kingfishes",25.4748254121606,2002,"VA",387.602632782714,4174.34637004373
"26","kingfishes",47.556922933534,2002,"VA",397.602632782714,4174.34637004373
"27","kingfishes",44.8694043685189,2002,"VA",407.602632782714,4174.34637004373
"28","kingfishes",29.458870544883,2002,"VA",392.602632782714,4183.00662408158
"29","kingfishes",27.216513966369,2002,"VA",402.602632782714,4183.00662408158
"30","kingfishes",26.5411569842662,2002,"VA",397.602632782714,4191.66687811942
"31","kingfishes",27.0057033700305,2002,"VA",407.602632782714,4191.66687811942
"1","kingfishes",78.4237181019844,2003,"VA",392.602632782714,4096.40408370313
"2","kingfishes",130.87988985033,2003,"VA",402.602632782714,4096.40408370313
"3","kingfishes",155.087301946086,2003,"VA",412.602632782714,4096.40408370313
"4","kingfishes",106.820140198865,2003,"VA",397.602632782714,4105.06433774098
"5","kingfishes",112.487634612324,2003,"VA",407.602632782714,4105.06433774098
"6","kingfishes",46.2499769162686,2003,"VA",392.602632782714,4113.72459177882
"7","kingfishes",83.3585785761195,2003,"VA",402.602632782714,4113.72459177882
"8","kingfishes",7.1095474066067,2003,"VA",377.602632782714,4122.38484581667
"9","kingfishes",17.4621065921701,2003,"VA",387.602632782714,4122.38484581667
"10","kingfishes",45.2219693719988,2003,"VA",397.602632782714,4122.38484581667
"11","kingfishes",42.8094000274975,2003,"VA",407.602632782714,4122.38484581667
"12","kingfishes",24.1675192667432,2003,"VA",392.602632782714,4131.04509985451
